concept,color,rating
lightning,#004080,36
happy,#CC6666,7
sad,#608000,40
tree,#99C2FF,1
angry,#666666,0
banana,#000000,0
sick,#000000,0
angry,#800000,100
angry,#9966CC,1
tree,#808000,100
mango,#FFFF99,26
angry,#CC6666,93
sick,#608000,91
death,#800080,16
safety,#DFFF99,13
tree,#004D00,100
tree,#FFD700,95
death,#00CED1,9
tree,#000000,3
justice,#C299FF,17
sad,#C299FF,44
sick,#99C2FF,73
sick,#FFFFFF,0
happy,#804000,0
angry,#FF4500,28
peace,#400080,100
sandstorm,#FF9999,32
angry,#99FFFF,19
safety,#008080,35
banana,#FFFF99,94
death,#004D00,12
tree,#0000CD,0
death,#99C2FF,0
sick,#6699CC,9
justice,#66CCCC,3
mango,#C299FF,0
mango,#333333,0
sandstorm,#DFFF99,1
peace,#FFFF99,38
sad,#FFC299,10
sad,#FFFF99,5
banana,#CC9966,0
justice,#808000,12
banana,#666666,0
sandstorm,#99C2FF,0
safety,#008080,12
safety,#000000,0
mango,#CC6666,0
lightning,#FFFF99,10
justice,#6699CC,13
lightning,#FFFFFF,0
tree,#DFFF99,95
banana,#66CCCC,2
peach,#CC6666,50
banana,#004D00,12
angry,#ADFF2F,0
angry,#9966CC,68
peach,#0000CD,21
sick,#333333,82
peach,#FF9999,100
happy,#00CED1,60
peace,#99FF99,82
sad,#99FFFF,75
banana,#008080,9
sandstorm,#66CCCC,0
sad,#66CC66,0
sandstorm,#C299FF,23
death,#228B22,6
safety,#808000,16
safety,#CCCC66,27
safety,#DFFF99,76
mango,#FFD700,100
justice,#99FF99,29
peach,#800000,37
sad,#9966CC,21
sandstorm,#6699CC,57
peach,#800080,13
peace,#9966CC,62
death,#333333,72
peach,#DC143C,28
angry,#6699CC,40
peach,#400080,22
happy,#99C2FF,56
peach,#ADFF2F,14
angry,#808000,25
death,#804000,64
peace,#008080,37
happy,#804000,30
banana,#CC9966,62
tree,#004080,25
sandstorm,#804000,74
tree,#608000,92
banana,#00CED1,27
justice,#66CC66,38
justice,#00CED1,25
death,#800080,34
sandstorm,#333333,84
peace,#CC6666,41
peace,#99FF99,40
peace,#FFC299,30
sick,#C299FF,6
sad,#ADFF2F,0
peach,#FF4500,0
justice,#608000,85
tree,#FF4500,9
happy,#004080,68
angry,#FFFFFF,21
banana,#FFFFFF,79
safety,#66CC66,72
sad,#808000,39
peach,#0000CD,0
sick,#004D00,82
sick,#800000,13
sick,#800080,0
sad,#99CC66,0
tree,#004D00,100
angry,#008080,0
justice,#004080,93
death,#004080,10
peace,#FFFF99,100
tree,#C299FF,6
happy,#99FFFF,27
