"concept","color","rating_count","mean","standard_deviation"
"sandstorm","#004080",9,"10.44","11.74"
"mango","#333333",8,"3.75","5.82"
"lightning","#008080",7,"13.14","11.38"
"peace","#800080",9,"21.78","27.43"
"death","#400080",12,"41.25","32.36"
"peace","#000000",8,"0.88","1.36"
"angry","#99C2FF",9,"13.44","9.85"
"safety","#CCCC66",10,"31.10","30.91"
"happy","#0000CD",7,"24.71","25.10"
"justice","#004080",12,"54.17","37.20"
"sick","#99FFFF",9,"35.56","30.13"
"lightning","#DC143C",8,"8.50","9.01"
"banana","#008080",10,"16.70","23.84"
"sick","#CC6666",6,"34.33","23.66"
"peach","#008080",10,"9.80","19.61"
"lightning","#FF9999",9,"14.67","22.85"
"peace","#008080",10,"36.50","29.32"
"happy","#608000",6,"29.83","30.79"
"justice","#DC143C",6,"23.83","19.77"
"sad","#400080",5,"58.00","35.80"
"sandstorm","#999999",8,"13.00","20.28"
"angry","#800000",7,"92.71","5.12"
"sad","#804000",8,"17.50","12.93"
"banana","#0000CD",10,"13.80","21.97"
"safety","#FF9999",12,"44.92","33.99"
"angry","#CC9966",9,"22.56","33.10"
"mango","#FFFF99",11,"59.18","36.44"
"angry","#808000",10,"19.60","28.14"
"peach","#666666",9,"0.78","1.56"
"safety","#004D00",7,"32.43","26.98"
"banana","#CC6666",6,"10.33","14.46"
"peace","#004080",7,"30.57","32.55"
"sad","#333333",6,"48.17","30.26"
"peach","#999999",7,"5.71","5.88"
"sad","#CC6666",8,"24.38","21.35"
"justice","#000000",14,"31.86","32.55"
"mango","#FF9999",10,"47.80","32.27"
"mango","#99CC66",7,"39.00","30.48"
"tree","#FFC299",10,"17.00","19.33"
"sad","#228B22",5,"17.80","12.64"
"safety","#666666",6,"54.50","28.12"
"sandstorm","#DC143C",8,"9.88","11.46"
"lightning","#999999",13,"43.69","31.15"
"mango","#666666",7,"3.43","3.82"
"banana","#228B22",9,"28.67","27.12"
"tree","#400080",10,"6.60","9.16"
"peace","#9966CC",5,"37.00","32.16"
"tree","#FFFF99",8,"16.25","15.21"
"lightning","#808000",7,"17.57","28.86"
"death","#00CED1",8,"13.00","24.25"
"tree","#804000",7,"67.57","30.94"
"peace","#DC143C",7,"18.00","21.93"
"mango","#FFFFFF",11,"3.00","4.69"
"safety","#804000",8,"10.75","16.42"
"banana","#FFC299",10,"26.10","32.44"
"sad","#800080",7,"47.86","29.11"
"lightning","#608000",4,"15.75","11.70"
"happy","#FF9999",9,"60.67","32.77"
"safety","#FFFF99",8,"50.63","36.42"
"peace","#666666",10,"25.00","32.50"
"sandstorm","#FFFFFF",14,"28.64","31.33"
"peace","#999999",8,"27.63","33.19"
"peach","#004080",8,"14.25","13.24"
"sick","#FFFF99",6,"37.17","34.10"
"happy","#FFD700",9,"72.44","33.61"
"sandstorm","#66CCCC",6,"14.50","13.31"
"peach","#0000CD",11,"12.82","12.17"
"sad","#FF9999",8,"18.38","21.45"
"safety","#000000",10,"17.40","26.69"
"sad","#99C2FF",5,"58.00","36.54"
"angry","#99CC66",8,"14.25","12.44"
"sick","#FFC299",7,"19.43","26.64"
"lightning","#9966CC",7,"17.71","14.21"
"peace","#608000",11,"39.09","31.36"
"sick","#800080",12,"42.92","31.62"
"peace","#804000",8,"17.00","22.13"
"tree","#999999",7,"12.29","11.03"
"banana","#DFFF99",9,"68.67","31.07"
"happy","#FFFF99",9,"57.33","37.78"
"sick","#9966CC",9,"35.11","31.04"
"banana","#66CCCC",6,"18.33","27.40"
"happy","#008080",4,"26.50","31.30"
"banana","#DC143C",10,"7.00","10.72"
"peace","#FFFF99",12,"54.75","32.84"
"peach","#66CC66",9,"21.22","20.66"
"mango","#99C2FF",6,"11.83","12.11"
"angry","#66CC66",9,"14.11","14.66"
"sad","#C299FF",9,"35.89","30.91"
"sick","#99CC66",5,"80.80","10.06"
"lightning","#FFC299",6,"21.83","24.42"
"sandstorm","#228B22",10,"11.10","11.19"
"sandstorm","#608000",10,"28.10","25.57"
"sad","#004D00",7,"36.71","31.22"
"death","#DC143C",9,"77.56","30.94"
"lightning","#99FF99",7,"25.71","27.96"
"justice","#800000",7,"42.14","28.33"
"angry","#CC6666",9,"53.78","34.71"
"angry","#66CCCC",8,"11.88","14.81"
"happy","#666666",6,"14.67","16.00"
"sick","#6699CC",7,"21.57","19.86"
"sad","#99FFFF",9,"45.33","28.67"
"mango","#9966CC",9,"3.00","5.43"
"banana","#FFFF99",8,"83.63","18.52"
"angry","#400080",8,"27.63","24.25"
"death","#FF9999",11,"40.00","30.13"
"safety","#0000CD",8,"46.63","30.30"
"justice","#FFFFFF",9,"56.56","36.90"
"death","#004080",7,"30.14","32.20"
"peach","#FF9999",11,"67.91","36.75"
"peace","#FFFFFF",8,"49.63","37.99"
"tree","#ADFF2F",7,"62.00","32.93"
"peach","#66CCCC",9,"32.00","34.52"
"sick","#008080",8,"34.38","31.82"
"justice","#400080",8,"32.63","32.24"
"sick","#99FF99",7,"58.57","32.56"
"happy","#FFFFFF",9,"44.33","30.17"
"peace","#400080",12,"36.00","33.55"
"justice","#800080",8,"40.63","31.27"
"death","#CCCC66",5,"41.80","32.07"
"mango","#FFC299",7,"40.86","37.87"
"sick","#004D00",8,"63.25","30.89"
"sick","#99C2FF",11,"38.82","30.55"
"happy","#00CED1",5,"45.60","31.20"
"mango","#6699CC",8,"11.75","13.53"
"sandstorm","#000000",7,"4.43","7.35"
"banana","#99C2FF",9,"10.67","12.74"
"death","#FFD700",9,"13.78","22.48"
"justice","#999999",6,"32.17","27.05"
"death","#99C2FF",9,"16.22","21.34"
"peach","#808000",11,"23.55","25.24"
"safety","#333333",5,"33.40","32.46"
"lightning","#004D00",7,"11.14","9.67"
"safety","#FFD700",8,"78.25","17.69"
"angry","#804000",8,"35.50","31.16"
"sandstorm","#C299FF",10,"14.10","11.59"
"lightning","#004080",7,"42.43","36.00"
"sad","#608000",7,"28.00","28.59"
"banana","#000000",6,"0.00","0.00"
"death","#800080",8,"34.75","28.32"
"tree","#000000",7,"6.29","8.10"
"sandstorm","#FF9999",7,"6.86","12.21"
"safety","#008080",9,"23.78","28.41"
"death","#004D00",4,"31.00","34.35"
"sandstorm","#DFFF99",6,"33.17","33.57"
"sad","#FFFF99",5,"14.00","15.67"
"banana","#666666",7,"5.43","9.38"
"mango","#CC6666",8,"17.75","19.52"
